Data	Concentracao	Precipitacao	Temperatura	Umidade	Velocidade_vento
3/13/2015	13.96	0.00	22.82	84.79	1.89
3/14/2015	14.17	0.00	22.26	90.33	1.43
3/15/2015	9.08	0.00	21.84	86.86	1.54
3/16/2015	12.00	0.00	22.94	78.65	1.61
3/17/2015	12.67	0.00	22.44	81.25	2.17
3/18/2015	9.92	0.00	21.17	84.58	1.70
3/19/2015	12.54	0.00	20.51	91.13	1.67
3/20/2015	14.17	0.00	21.91	85.17	2.00
3/21/2015	7.25	0.00	21.57	88.70	2.26
3/22/2015	7.50	0.00	21.50	89.42	2.03
3/23/2015	12.67	0.00	22.21	77.32	1.95
3/24/2015	18.00	0.00	23.40	66.45	2.20
3/25/2015	18.04	0.00	24.83	66.59	1.98
3/26/2015	23.63	0.00	27.76	60.17	1.53
3/27/2015	24.50	0.00	25.55	65.25	1.88
3/28/2015	20.38	0.00	26.14	63.79	1.21
3/29/2015	24.13	0.00	26.34	70.21	1.25
3/30/2015	11.75	0.00	22.69	89.33	1.77
3/31/2015	15.50	0.00	24.56	79.95	1.05
4/1/2015	17.33	0.00	25.83	63.95	1.39
4/2/2015	24.88	0.00	24.76	61.38	2.59
4/3/2015	16.50	0.00	24.20	54.92	2.22
4/4/2015	18.71	0.00	23.18	72.04	2.08
4/5/2015	10.25	0.00	22.43	86.13	2.54
4/6/2015	10.79	0.00	23.27	78.61	1.89
4/7/2015	15.04	0.00	20.71	70.00	3.69
4/8/2015	16.42	0.00	22.17	65.32	1.92
4/9/2015	22.63	0.00	23.15	66.00	1.78
4/10/2015	31.08	0.00	23.42	66.25	1.71
4/11/2015	29.75	0.00	23.81	63.17	1.38
4/12/2015	27.08	0.00	24.95	53.46	1.89
4/13/2015	38.13	0.00	24.24	60.88	1.89
4/14/2015	43.17	0.00	24.35	67.92	1.94
4/15/2015	20.17	0.00	22.72	86.50	1.68
4/16/2015	20.75	0.00	24.31	75.71	1.68
4/17/2015	24.88	0.00	24.83	65.96	1.95
4/18/2015	33.33	0.00	25.96	66.38	1.86
4/19/2015	32.13	0.00	25.00	76.00	2.15
4/20/2015	16.42	0.00	25.78	71.25	1.50
4/21/2015	21.54	0.00	26.35	70.58	1.80
4/22/2015	16.46	0.00	23.55	81.46	2.05
4/23/2015	16.54	0.00	25.32	70.00	1.80
4/24/2015	24.63	0.00	24.21	76.13	1.60
4/25/2015	23.38	0.00	23.39	64.95	2.78
4/26/2015	15.92	0.00	23.52	54.81	2.40
4/27/2015	22.58	0.00	22.63	60.42	2.10
4/28/2015	37.21	0.00	23.48	55.33	1.86
4/29/2015	50.67	0.00	21.80	64.21	2.57
4/30/2015	28.29	0.00	20.70	67.00	2.75
5/1/2015	26.58	0.00	20.93	65.33	2.09
5/2/2015	39.29	0.00	22.78	63.21	2.33
5/3/2015	36.67	0.00	23.83	63.50	2.81
5/4/2015	19.25	0.00	20.61	86.21	2.70
5/5/2015	17.00	0.00	22.43	79.25	1.86
5/6/2015	33.17	0.00	21.58	77.13	2.01
5/7/2015	28.13	0.00	20.92	66.10	2.39
5/8/2015	19.50	0.00	19.50	66.75	2.72
5/9/2015	23.04	0.00	21.29	64.50	1.98
5/10/2015	24.96	0.00	21.52	76.25	3.17
5/11/2015	8.33	0.00	18.43	91.91	1.41
5/12/2015	23.35	0.00	18.57	78.86	1.18
5/13/2015	24.29	0.00	19.59	74.12	2.73
5/14/2015	21.79	0.00	20.04	68.74	2.08
5/15/2015	25.29	0.00	19.51	68.88	2.39
5/16/2015	24.13	0.00	19.71	62.58	1.86
5/17/2015	21.42	0.00	20.28	64.50	1.80
5/18/2015	27.46	0.00	20.49	71.42	1.91
5/19/2015	19.67	0.00	20.82	77.46	2.05
5/20/2015	15.88	0.00	19.39	85.36	1.83
5/21/2015	18.83	0.00	21.28	72.90	2.13
5/22/2015	25.58	0.00	22.22	66.73	2.14
5/23/2015	38.46	0.00	21.62	67.57	1.75
5/24/2015	26.88	0.00	22.46	67.38	1.83
5/25/2015	33.13	0.00	23.86	62.50	1.20
5/26/2015	41.96	0.00	24.58	62.88	1.02
