Data	Concentracao	Precipitacao	Velocidade_vento	Temperatura	Umidade
4/4/2002	33.08	0.00	3.70	23.30	71.25
4/8/2002	29.07	0.00	2.67	21.98	64.75
4/10/2002	31.59	0.00	2.40	22.08	66.00
4/17/2002	20.22	0.00	1.47	23.26	67.75
4/24/2002	41.26	0.00	2.20	21.86	65.50
4/29/2002	45.34	0.00	2.60	23.40	55.75
5/3/2002	29.40	2.00	2.03	21.14	83.25
5/6/2002	24.58	0.10	2.23	20.98	78.75
5/13/2002	25.51	0.00	2.13	20.50	68.25
5/16/2002	24.70	0.00	2.53	19.64	75.50
5/22/2002	19.93	0.50	4.53	16.28	81.00
5/27/2002	40.90	0.00	1.87	15.88	64.25
5/29/2002	35.27	0.00	1.93	16.48	73.50
6/3/2002	39.48	0.00	2.20	18.18	70.50
6/10/2002	54.86	0.00	2.37	20.18	68.00
6/13/2002	62.34	0.00	1.40	19.94	66.25
6/18/2002	80.69	0.00	1.87	19.18	60.00
6/24/2002	52.49	0.00	1.97	18.12	66.75
6/27/2002	46.31	0.00	1.90	19.86	58.75
7/4/2002	47.90	0.00	1.30	19.58	60.25
7/6/2002	60.68	0.00	2.10	18.46	62.25
7/8/2002	52.77	0.30	0.25	9.40	86.00
7/11/2002	30.07	0.00	2.47	16.28	79.75
7/15/2002	59.92	0.00	1.87	16.08	55.75
7/19/2002	56.68	0.00	2.43	18.08	63.50
7/22/2002	27.04	1.50	3.43	16.54	91.50
7/24/2002	62.61	0.00	1.90	19.06	56.25
8/1/2002	26.10	16.40	3.13	17.86	92.75
8/5/2002	40.68	0.00	1.33	22.12	65.00
8/10/2002	63.22	0.00	1.97	21.60	52.25
8/12/2002	53.26	0.00	1.60	20.92	54.75
8/15/2002	72.13	0.00	1.87	20.90	55.50
8/19/2002	35.01	0.00	2.63	20.52	53.00
8/21/2002	51.98	0.00	2.70	20.40	51.25
8/26/2002	51.71	0.00	3.83	20.16	50.75
8/29/2002	29.20	0.00	4.03	18.88	72.00
9/15/2002	45.55	0.70	2.70	21.88	61.50
9/19/2002	44.87	0.00	3.67	24.18	49.25
9/23/2002	24.19	2.50	1.87	16.54	85.00
9/27/2002	46.34	0.00	3.70	21.24	53.00
9/30/2002	55.52	0.00	2.40	23.26	50.25
10/3/2002	49.78	0.00	2.80	23.32	55.25
10/7/2002	38.04	0.00	2.50	25.14	53.00
10/10/2002	58.04	0.00	2.27	26.66	42.75
10/13/2002	56.24	0.00	3.40	27.96	33.25
10/21/2002	40.64	0.00	4.57	27.88	39.50
10/25/2002	28.28	0.40	3.57	23.94	72.00
10/28/2002	17.73	0.00	3.17	24.18	59.50
10/31/2002	21.44	0.00	2.70	22.64	71.00
11/4/2002	26.16	0.00	1.97	22.66	72.75
11/14/2002	15.13	0.00	3.37	22.72	65.50
11/18/2002	19.62	3.00	2.87	23.22	82.75
11/25/2002	20.18	8.20	2.63	24.48	71.25
11/28/2002	34.57	0.00	1.87	25.02	68.00
12/2/2002	20.55	10.10	1.90	23.42	80.25
12/9/2002	19.23	20.90	6.10	21.60	75.00
12/10/2002	22.48	0.00	5.07	22.30	72.25
12/16/2002	16.33	113.40	2.23	19.44	92.50
12/23/2002	22.55	0.00	2.53	24.12	78.00
12/26/2002	10.51	2.70	2.33	21.82	71.50
12/30/2002	17.31	0.50	3.10	24.90	61.50
1/3/2003	24.79	25.40	2.30	23.70	77.00
1/6/2003	6.50	33.80	3.67	24.22	72.50
1/13/2003	20.93	12.30	2.13	21.90	84.50
1/16/2003	11.48	0.00	2.73	22.80	77.75
1/20/2003	16.11	0.00	2.97	23.20	82.75
1/23/2003	18.29	29.90	4.77	21.56	91.50
1/29/2003	20.20	22.00	1.77	21.24	89.50
2/1/2003	20.97	6.20	1.47	23.98	66.75
2/3/2003	12.34	0.00	2.37	25.28	63.00
2/6/2003	16.97	0.00	1.27	23.36	78.25
2/10/2003	14.45	0.00	1.43	26.06	59.25
2/19/2003	13.94	49.50	2.40	23.68	75.50
2/25/2003	7.77	0.00	1.70	25.08	60.00
2/27/2003	35.08	0.00	1.50	25.52	58.25
