Data	Concentra_up	Concentra_down
6/4/2016	11.63	11.63
6/5/2016	18.33	18.33
6/6/2016	22.45	22.45
6/7/2016	21.92	21.92
6/8/2016	22.71	22.71
6/9/2016	24.50	24.50
6/10/2016	26.08	26.08
6/11/2016	19.79	19.79
6/12/2016	21.71	21.71
6/13/2016	22.17	22.17
6/14/2016	39.25	39.25
6/15/2016	48.17	48.17
6/16/2016	50.00	50.00
6/17/2016	46.58	46.58
6/18/2016	33.88	33.88
6/19/2016	17.46	17.46
6/20/2016	10.08	10.08
6/21/2016	21.42	21.42
6/22/2016	32.83	32.83
6/23/2016	21.46	21.46
6/24/2016	31.38	31.38
6/25/2016	33.54	33.54
6/26/2016	32.50	32.50
6/27/2016	40.38	40.38
6/28/2016	40.08	40.08
6/29/2016	31.92	31.92
6/30/2016	34.96	34.96
7/1/2016	34.79	34.79
7/2/2016	42.04	42.04
7/3/2016	50.17	50.17
7/4/2016	52.63	52.63
7/5/2016	25.50	25.50
7/6/2016	32.71	32.71
7/7/2016	43.92	43.92
7/8/2016	56.96	56.96
7/9/2016	71.13	71.13
7/10/2016	54.21	54.21
7/11/2016	40.67	40.67
7/12/2016	64.04	64.04
7/13/2016	69.71	69.71
7/14/2016	54.46	54.46
7/15/2016	16.88	16.88
